emoji_handle,emoji_link,section
foggy,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/foggy.png,Nature
ocean,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ocean.png,Nature
cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cat.png,Nature
dog,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dog.png,Nature
mouse,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/mouse.png,Nature
hamster,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hamster.png,Nature
rabbit,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rabbit.png,Nature
wolf,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/wolf.png,Nature
frog,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/frog.png,Nature
tiger,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/tiger.png,Nature
koala,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/koala.png,Nature
bear,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bear.png,Nature
pig,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/pig.png,Nature
pig_nose,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/pig_nose.png,Nature
cow,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cow.png,Nature
boar,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/boar.png,Nature
monkey_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/monkey_face.png,Nature
monkey,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/monkey.png,Nature
horse,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/horse.png,Nature
racehorse,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/racehorse.png,Nature
camel,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/camel.png,Nature
sheep,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sheep.png,Nature
elephant,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/elephant.png,Nature
panda_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/panda_face.png,Nature
snake,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/snake.png,Nature
bird,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bird.png,Nature
baby_chick,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/baby_chick.png,Nature
hatched_chick,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hatched_chick.png,Nature
hatching_chick,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hatching_chick.png,Nature
chicken,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/chicken.png,Nature
penguin,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/penguin.png,Nature
turtle,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/turtle.png,Nature
bug,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bug.png,Nature
honeybee,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/honeybee.png,Nature
ant,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ant.png,Nature
beetle,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/beetle.png,Nature
snail,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/snail.png,Nature
octopus,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/octopus.png,Nature
tropical_fish,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/tropical_fish.png,Nature
fish,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/fish.png,Nature
whale,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/whale.png,Nature
whale2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/whale2.png,Nature
dolphin,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dolphin.png,Nature
cow2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cow2.png,Nature
ram,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ram.png,Nature
rat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rat.png,Nature
water_buffalo,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/water_buffalo.png,Nature
tiger2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/tiger2.png,Nature
rabbit2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rabbit2.png,Nature
dragon,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dragon.png,Nature
goat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/goat.png,Nature
rooster,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/rooster.png,Nature
dog2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dog2.png,Nature
pig2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/pig2.png,Nature
mouse2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/mouse2.png,Nature
ox,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ox.png,Nature
dragon_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dragon_face.png,Nature
blowfish,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/blowfish.png,Nature
crocodile,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/crocodile.png,Nature
dromedary_camel,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dromedary_camel.png,Nature
leopard,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/leopard.png,Nature
cat2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cat2.png,Nature
