name,number,type
25666-投标策略高级经理（上海）,1,市场类
27564-体育向内容编辑（深圳）,1,产品/项目类
21645-高级法律顾问-跨境支付方向（深圳）,1,职能类
27553-腾讯音乐商业分析经理（深圳）,1,市场类
30622-腾讯广告信息流与QQ效果广告行业运营经理（深圳）,2,产品/项目类
TEG17-高级语音平台开发工程师,1,技术类
PCG16-信息流商业化后台开发工程师（深圳）,2,技术类
CSIG16-自动驾驶控制算法工程师（北京）,1,技术类
WXG10-112 企业微信运营开发工程师（广州）,1,技术类
TME-全民K歌活动运营（深圳）,1,产品/项目类
23294-互娱品牌组长（深圳）,2,市场类
18796-产品经理(深圳）,1,产品/项目类
FWZ-诉讼律师（深圳）,2,职能类
TME-腾讯音乐专项测试开发工程师（深圳）,3,技术类
WXG08-113 大数据平台开发工程师（深圳）,1,技术类
TEG02-loRa网络研发工程师（深圳）,5,技术类
21309-初中数学教研教学老师（北京）,1,产品/项目类
22989-机器学习算法工程师（上海）,1,技术类
22989-机器学习算法工程师（深圳总部）,1,技术类
18428-银行业务测试工程师（深圳）,1,技术类
TME-Moo音乐/QQ音乐交互设计师（深圳）,1,设计类
CSIG16-自动驾驶点云感知算法工程师（北京）,1,技术类
31504-高级运营开发工程师,2,技术类
30623-腾讯广告联盟广告商务经理（北京）,1,市场类
23295-互娱PGC内容策划经理,1,市场类
TME-全民K歌直播内容运营（深圳）,3,产品/项目类
PCG04-无线过程改进工程师（深圳）,1,技术类
30620-腾讯广告网服行业运营经理（微信广告 深圳）,1,产品/项目类
21309-腾讯课堂设计培训类目经理（深圳）,1,产品/项目类
21309-IT类目经理（深圳）,1,产品/项目类
AQ-法律研究合作经理（北京）,1,职能类
15573-新侠风MMORPG手游客户端开发高级工程师（上海）,3,技术类
25926-机器学习算法高级工程师,2,技术类
25928-高级移动客户端开发工程师（深圳）,1,技术类
27216-腾讯乘车码开发工程师（深圳）,1,技术类
27441-投资系统运营分析经理（深圳）,1,职能类
32270-企鹅影视自制综艺节目制片人,3,产品/项目类
25924-自然语言处理高级算法工程师（深圳）,1,技术类
30625-腾讯广告KA电商广告产品运营经理（北京）,1,产品/项目类
TME-全民K歌国际版产品运营（深圳）,1,产品/项目类
23295-互娱娱乐营销商务经理（北京）,1,市场类
HY6-互娱后台开发工程师（深圳）,1,技术类
25928-Web前端开发工程师（深圳）,1,技术类
27092-应用宝web前端开发工程师（深圳）,1,技术类
21229-游戏客户端开发工程师（上海）,3,技术类
27193-互娱高级视觉设计师,1,设计类
30624-腾讯广告饮料行业广告销售经理（上海）,1,市场类
25666-投标策略高级经理（深圳）,3,市场类
28297-国漫/二次元项目高级运营经理（深圳）,1,产品/项目类
TME-全民K歌高级产品经理（用户增长）,1,产品/项目类
17229-资深原画设计师,2,设计类
15687-互娱漫画主笔(深圳),1,设计类
15581-华夏手游运营活动策划（深圳）,1,产品/项目类
15851-游戏后台开发工程师（深圳）,1,技术类
15579-高级游戏技术美术（深圳）,1,设计类
CSIG15-语音识别算法研究员,1,技术类
PCG10-数据分析产品经理,1,产品/项目类
CSIG16-底图渲染引擎开发工程师,1,技术类
30628-30628-腾讯社交广告数据应用产品经理（深圳/上海）,1,产品/项目类
PCG10-QQ浏览器推荐算法工程师,2,技术类
